date,version,count
2026-06-26,JFAA,0
2026-06-26,KJA,0
2026-06-26,KJF,0
2026-06-26,MENS,0
2026-06-26,NAA,0
2026-06-26,NBV,0
2026-06-26,NTLH,0
2026-06-26,NVI,0
2026-06-26,NVT,0
2026-06-26,OL,0
2026-06-26,TB,0
2026-06-26,VFL,0
2026-06-27,ACF,0
2026-06-27,ALM1911,0
2026-06-27,ARA,0
2026-06-27,ARC,0
2026-06-27,AS21,0
2026-06-27,BLIVRE,0
2026-06-27,JFAA,0
2026-06-27,KJA,0
2026-06-27,KJF,0
2026-06-27,MENS,0
2026-06-27,NAA,0
2026-06-27,NBV,0
2026-06-27,NTLH,0
2026-06-27,NVI,0
2026-06-27,NVT,0
2026-06-27,OL,0
2026-06-27,TB,0
2026-06-27,VFL,0
2026-06-28,ACF,0
2026-06-28,ALM1911,0
2026-06-28,ARA,0
2026-06-28,ARC,0
2026-06-28,AS21,0
2026-06-28,BLIVRE,0
2026-06-28,JFAA,0
2026-06-28,KJA,0
2026-06-28,KJF,0
2026-06-28,MENS,0
2026-06-28,NAA,0
2026-06-28,NBV,0
2026-06-28,NTLH,0
2026-06-28,NVI,0
2026-06-28,NVT,0
2026-06-28,OL,0
2026-06-28,TB,0
2026-06-28,VFL,0
2026-06-29,ACF,0
2026-06-29,ALM1911,0
2026-06-29,ARA,0
2026-06-29,ARC,0
2026-06-29,AS21,0
2026-06-29,BLIVRE,0
2026-06-29,JFAA,0
2026-06-29,KJA,0
2026-06-29,KJF,0
2026-06-29,MENS,0
2026-06-29,NAA,0
2026-06-29,NBV,0
2026-06-29,NTLH,0
2026-06-29,NVI,0
2026-06-29,NVT,0
2026-06-29,OL,0
2026-06-29,TB,0
2026-06-29,VFL,0
2026-06-30,ACF,0
2026-06-30,ALM1911,0
2026-06-30,ARA,0
2026-06-30,ARC,0
2026-06-30,AS21,0
2026-06-30,BLIVRE,0
2026-06-30,JFAA,0
2026-06-30,KJA,0
2026-06-30,KJF,0
2026-06-30,MENS,0
2026-06-30,NAA,0
2026-06-30,NBV,0
2026-06-30,NTLH,0
2026-06-30,NVI,0
2026-06-30,NVT,0
2026-06-30,OL,0
2026-06-30,TB,0
2026-06-30,VFL,0
2026-07-01,ACF,0
2026-07-01,ALM1911,0
2026-07-01,ARA,0
2026-07-01,ARC,0
2026-07-01,AS21,0
2026-07-01,BLIVRE,0
2026-07-01,JFAA,0
2026-07-01,KJA,0
2026-07-01,KJF,0
2026-07-01,MENS,0
2026-07-01,NAA,0
2026-07-01,NBV,0
2026-07-01,NTLH,0
2026-07-01,NVI,0
2026-07-01,NVT,0
2026-07-01,OL,0
2026-07-01,TB,0
2026-07-01,VFL,0
2026-07-02,ACF,0
2026-07-02,ALM1911,0
2026-07-02,ARA,0
2026-07-02,ARC,0
2026-07-02,AS21,0
2026-07-02,BLIVRE,0
2026-07-02,JFAA,0
2026-07-02,KJA,0
2026-07-02,KJF,0
2026-07-02,MENS,0
2026-07-02,NAA,0
2026-07-02,NBV,0
2026-07-02,NTLH,0
2026-07-02,NVI,0
2026-07-02,NVT,0
2026-07-02,OL,0
